Date,Actual,ARIMA_Prediction
2010-03-12,9.49813018862335,8.511405441607112
2010-03-12,6.558906771292869,8.515124480282129
2010-03-12,7.874358824729881,8.5181948383163
2010-03-12,7.1834305575093005,8.520729659618727
2010-03-12,9.359417919486756,8.522822353357938
2010-03-12,5.973555126564414,8.524550036126715
2010-03-12,9.66591160339643,8.525976373719073
2010-03-12,11.61548629516358,8.527153927239974
2010-03-12,11.347193614860458,8.528126090002853
2010-03-12,8.377719607461794,8.528928686590403
2010-03-12,7.323170717943469,8.529591293004616
2010-03-12,8.949365142352965,8.530138326554184
2010-03-12,8.616314282284044,8.530589945641974
2010-03-12,9.389246937653342,8.530962792610172
2010-03-12,6.810583367229864,8.53127060701716
2010-03-12,9.101375590972884,8.531524731945701
2010-03-12,8.674651537735496,8.53173453200002
2010-03-12,10.072973332077508,8.531907738395175
2010-03-12,9.554749598622172,8.532050733855401
2010-03-12,9.167010025837378,8.53216878782002
2010-03-12,9.657930944718206,8.532266250624364
2010-03-12,6.974712747107018,8.53234671381136
2010-03-12,9.688371072906175,8.532413142481303
2010-03-12,6.691686641339889,8.532467984556979
2010-03-12,3.635214929528243,8.532513260990589
2010-03-12,6.64601382053071,8.532550640236636
2010-03-12,5.147261891628081,8.532581499735135
2010-03-12,10.686144486542522,8.532606976670825
2010-03-12,8.375293164967463,8.53262800987887
2010-03-12,8.611240756275865,8.532645374441316
2010-03-12,9.804532588568485,8.53265971024916
2010-03-12,6.411818267709897,8.532671545582598
2010-03-12,9.493148084011702,8.532681316578355
2010-03-12,8.642459270248635,8.532689383301491
2010-03-12,7.151548157864193,8.532696043013948
2010-03-12,8.685794386379152,8.532701541128764
2010-03-12,9.939488665256842,8.532706080253652
2010-03-12,10.019802844917477,8.532709827657156
2010-03-12,8.924825283251618,8.53271292143258
2010-03-12,9.494763389472975,8.532715475586775
2010-03-12,9.485324667799777,8.53271758424133
2010-03-12,11.10482969971574,8.532719325101008
2010-03-12,10.63716996650429,8.532720762317169
2010-03-12,10.18022760382241,8.532721948851803
2010-03-12,11.297323529050212,8.532722928429179
2010-03-12,10.69805145722129,8.532723737147109
2010-03-12,10.89561684394774,8.532724404807173
2010-03-12,9.270583744655813,8.532724956012906
